gender	iq	weight	height	size
Female	133	118	2.67	816932
Male	140	151	3.00	1001121
Male	139	143	3.04	1038437
Male	133	172	2.84	965353
Female	137	147	2.71	951545
Female	99	146	2.88	928799
Female	138	138	2.67	991305
Female	92	175	2.75	854258
Male	89	134	2.75	904858
Male	133	172	2.84	955466
Female	132	118	2.67	833868
Male	141	151	2.92	1079549
Male	135	155	2.88	924059
Female	140	155	2.92	856472
Female	96	146	2.75	878897
Female	83	135	2.83	865363
Female	132	127	2.84	852244
Male	100	178	3.05	945088
Female	101	136	2.75	808020
Male	80	180	2.92	889083
Male	83	151	2.85	892420
Male	97	186	3.17	905940
Female	135	122	2.58	790619
Male	139	132	2.83	955003
Female	91	114	2.63	831772
Male	141	171	3.00	935494
Female	85	140	2.83	798612
Male	103	187	3.21	1062462
Female	77	106	2.63	793549
Female	130	159	2.75	866662
Female	133	127	2.59	857782
Male	144	191	2.79	949589
Male	103	192	3.13	997925
Male	90	181	2.88	879987
Female	83	143	2.75	834344
Female	133	153	2.75	948066
Male	140	144	2.92	949395
Female	88	139	2.67	893983
Male	81	148	3.08	930016
Male	89	179	3.13	935863
